,precision,recall,f1-score,support
bed,0.5538461538461539,0.36,0.43636363636363634,100.0
chair,0.8734177215189873,0.69,0.770949720670391,100.0
couch,0.4765625,0.61,0.5350877192982456,100.0
table,0.5754716981132075,0.61,0.5922330097087378,100.0
wardrobe,0.7295081967213115,0.89,0.8018018018018018,100.0
accuracy,0.632,0.632,0.632,0.632
macro avg,0.641761254039932,0.6319999999999999,0.6272871775685627,500.0
weighted avg,0.641761254039932,0.632,0.6272871775685624,500.0
